A,Verb,B,Count
annular magnet,fix,coil group,1
un,balance,centrifugal force,1
electromagnetic induction device,enable,rotation,1
electromagnetic induction device,generate,rotation,1
rotation,be,electromagnetic induction device,1
rotation,generate,electromagnetic induction device,1
inspection result groups,result,substrate,1
substrate,include,fabrication process,1
inspection result groups,be,first distribution groups,1
factoring,include,appearance information,1
empty carriers,store,replacement parts storage container,1
mapping pattern,identify,robot arm,1
mapping pattern,use,robot arm,1
substrate transfer device,have,contactless latch,1
contactless coupling,provide,substrate transfer,1
contactless coupling,lock,substrate transfer,1
contactless coupling,unlock,substrate transfer,1
lid grooves,have,base grooves,1
base grooves,have,ferromagnetic material,1
ferromagnetic material,be,magnetic material,1
ferromagnetic material,align,magnetic material,1
ferromagnetic material,space,magnetic material,1
substrate processing device,accord,processing tank,1
substrate processing device,include,processing tank,1
conveyer,array,semiconductor substrates,1
current plates,be,semiconductor substrates,1
current plates,arrange,semiconductor substrates,1
current plates,be,first gap region,1
current plates,provide,first gap region,1
conveyer,view,semiconductor substrates,1
wafer support table,include,ceramic base,1
ceramic base,have,wafer placement surface,1
wafer placement surface,include,RF electrode,1
electrode,be,wafer,1
electrode,embed,wafer,1
ceramic base,extend,RF electrode,1
Au thin film,be,rod,1
Au thin film,coat,rod,1
bonding apparatus,include,vacuum hole,1
substrate placing part,be,substrate processing apparatus,1
substrate placing part,arrange,substrate processing apparatus,1
substrate placing part,be,inner heating wire,1
substrate placing part,divide,inner heating wire,1
substrate placing part,have,inner heating wire,1
outer heating wire,wherein,inner heating wire,1
inner heating wire,heat,inner,1
outer heating wire,be,inner,1
outer heating wire,dispose,inner,1
outer heating wire,have,inner,1
dielectric layer,deposit,nitridation process,1
dielectric layer,extend,nitridation process,1
dielectric layer,perform,nitridation process,1
nitridation process,convert,metal nitride layer,1
metal nitride layer,perform,oxidation process,1
metal nitride layer,form,metal oxynitride layer,1
metal oxynitride layer,fill,metallic material,1
metallic material,use,contact plug,1
metallic material,form,contact plug,1
metal layer,cover,scribe streets,1
semiconductor wafer,include,semiconductor device dies,1
semiconductor device dies,form,scribe streets,1
semiconductor device dies,separate,scribe streets,1
scribe streets,place,semiconductor wafer,1
semiconductor wafer,face,stealth dicing,1
laser beam,focus,semiconductor wafer,1
scribe streets,ablate,metal layer,1
semiconductor device dies,use,stealth dicing,1
substrate,have,fin structure,1
dielectric layer,have,fin structure,1
dielectric layer,expose,fin structure,1
planarization layer,include,gate material layer,1
planarization layer,be,gate material layer,1
etching process,remove,planarization layer,1
semiconductor substrate,have,side surface,1
semiconductor substrate,oppose,side surface,1
side surface,include,wiring structure,1
semiconductor substrate,have,dielectric layer,1
metal wiring,connect,insulating material layer,1
wiring structure,have,side,1
wiring structure,connect,side,1
insulating material layer,have,wiring structure,1
insulating material layer,be,wiring structure,1
insulating material layer,repeat,wiring structure,1
wiring structure,be,semiconductor substrate,1
air gap,be,second conduct,1
air gap,extend,second conductive lines,1
tilted insulating layers,fabricate,semiconductor device,1
conductive pillars,position,substrate,1
substrate,extend,vertical axis,1
display device,include,display substrate,1
conductive layer,form,first photoresist pattern,1
conductive layer,be,second photoresist pattern,1
conductive layer,use,first photoresist pattern,1
masks,form,conductive pattern,1
first photoresist pattern,be,line width,1
inner,provide,outer,1
inner,surround,outer,1
outer,provide,inner,1
planetary centrifuge,include,main rotor,1
polishing method,accord,polishing rate,1
polishing method,reduce,polishing rate,1
polishing rate,keep,polishing,1
functionalized abrasive particles,have,polymerizable group,1
polysilicon,include,acid chemical mechanical polishing slurry,1
polysilicon,mix,acid chemical mechanical polishing slurry,1
acid chemical mechanical polishing slurry,contain,organic acid,1
alkaline solution,contain,abrasive,1
low alkyl amine compound,provide,chemical mechanical polishing pad,1
chemical mechanical polishing pad,have,polishing surface,1
polishing surface,create,dynamic contact,1
dynamic contact,polish,chemical mechanical polishing slurry,1
dynamic contact,dispense,chemical mechanical polishing slurry,1
alkaline solution,wherein,polysilicon,1
process chamber,process,substrate support,1
substrate support,provide,process chamber,1
process chamber,include,process,1
process chamber,be,process,1
process chamber,supply,process,1
radio frequency electrode assembly,include,conductive plates,1
conductive plates,be,local variations,1
conductive plates,bias,local variations,1
backside,be,composite backside film,1
backside,employ,composite backside film,1
backside,deposit,composite backside film,1
backside,provide,composite backside film,1
semiconductor structure,acquire,reflected light distribution,1
reflected light distribution,be,integrated value,1
integrated value,obtain,reflected light distribution,1
integrated value,integrate,reflected light distribution,1
integrated value,measure,reflected light distribution,1
integrated value,fit,reflected light distribution,1
multiple Gaussian function,obtain,surface roughness,1
multiple Gaussian function,add,surface roughness,1
multiple Gaussian function,distribute,surface roughness,1
multiple Gaussian function,acquire,surface roughness,1
multiple Gaussian function,correspond,surface roughness,1
substrate inspection system,provide,liquid dispense substrate processing system,1
substrate inspection system,monitor,liquid dispense substrate processing system,1
substrate inspection system,dispose,liquid dispense substrate processing system,1
substrate inspection system,transfer,liquid dispense substrate processing system,1
substrate inspection system,process,liquid dispense substrate processing system,1
liquid dispense substrate processing system,include,optical sensors,1
reflectometer,configure,spectral data,1
reflectometer,obtain,spectral data,1
spectral data,receive,film thickness,1
spectral data,detect,film thickness,1
spectral data,include,film thickness,1
refractive index changes,associate,critical dimension,1
plasma processing apparatus,include,first electrode,1
control method,include,control,1
control,apply,first state,1
second state,synchronize,radio frequency,1
reference electrical state,represent,electromagnetic field,1
electromagnetic field,measure,power feeding system,1
impedance matching network,determine,plasma chamber,1
plasma chamber,be,matching network,1
plasma chamber,determine,matching network,1
plasma chamber,base,matching network,1
wafer support table,be,wafer placing surface,1
wafer support table,bury,wafer placing surface,1
wafer support table,have,wafer placing surface,1
wafer placing surface,place,RF electrode,1
wafer placing surface,wherein,RF electrode,1
RF electrode,be,RF zone electrodes,1
RF electrode,constitute,RF zone electrodes,1
electrode,be,conductors,1
electrode,connect,conductors,1
wet cleaning equipment,wherein,electric field,1
wet cleaning equipment,be,electric field,1
wet cleaning equipment,provide,electric field,1
wet cleaning equipment,apply,electric field,1
electric field,form,wafer backside,1
wafer backside,spray,afer,1
wafer backside,do,afer,1
wafer backside,start,afer,1
wafer backside,avoid,afer,1
process chamber,accommodate,process gas supply system,1
process gas supply system,configure,process gas,1
process gas supply system,supply,process gas,1
exhaust pipe,configure,process chamber,1
exhaust pipe,exhaust,process chamber,1
first gas concentration sensor,configure,reactive gas,1
first gas concentration sensor,detect,reactive gas,1
sensor,configure,reactive gas,1
sensor,detect,reactive gas,1
